id,gid,UF,nome,Censo,PIB,Pop_est_2009,PIB_percapita,classe,desemprego,Pop_ativa_est_2009,estimat_pop_desemprego
611,183,BAHIA,Souto Soares,2010,53800.0703125,19407,2772.19995117,1,9.6,13585,1304
3439,184,BAHIA,Tabocas do Brejo Velho,2010,44926.98828125,12608,3563.37011719,1,10.3,7691,792
4272,185,BAHIA,Tanhaçu,2010,80742.0703125,20134,4010.22998047,1,8.4,14094,1184
1211,186,BAHIA,Santa Brígida,2010,52940.23828125,15652,3382.33007812,1,10.2,10956,1118
3131,187,BAHIA,Santa Cruz Cabrália,2010,153209.375,26250,5836.54980469,1,9,16013,1441
3098,188,BAHIA,Santa Cruz da Vitória,2010,23149.640625,6443,3592.98999023,1,9.6,4510,433
2962,189,BAHIA,Santa Inês,2010,35840.4296875,10803,3317.63989258,1,10.1,6590,666
741,190,RIO GRANDE DO SUL,São Paulo das Missões,2010,76172.8046875,6767,11256.50976562,2,4.4,4128,182
4529,191,RIO GRANDE DO SUL,Porto Vera Cruz,2010,22020.046875,2038,10804.73046875,2,3.4,1335,45
3362,192,RIO GRANDE DO SUL,Teutônia,2010,613187.8125,27215,22531.25,3,3.5,16601,581
5395,193,SÃO PAULO,Pontal,2010,581385.875,39272,14804.08007812,2,7,29258,2048
792,194,RIO GRANDE DO SUL,Coronel Barros,2010,42935.8203125,2522,17024.50976562,2,5.1,1538,78
721,195,RIO GRANDE DO SUL,Catuípe,2010,153886.890625,9611,16011.54003906,2,3.7,5863,217
5426,196,RIO GRANDE DO SUL,Coronel Pilar,2010,24520.734375,1645,14906.21972656,2,3.6,1077,39
2382,197,RIO GRANDE DO SUL,Sapiranga,2010,1101219.625,78045,14110.05957031,2,4,54632,2185
1251,198,BAHIA,Rafael Jambeiro,2010,96287.0234375,24004,4011.29003906,1,9.3,16803,1563
4812,199,BAHIA,Remanso,2010,155141.328125,39705,3907.35009766,1,9.1,26007,2367
4850,200,RIO GRANDE DO SUL,Gramado dos Loureiros,2010,21962.37695312,2399,9154.79980469,1,5.5,1571,86
3553,201,RIO GRANDE DO SUL,Sete de Setembro,2010,23714.16796875,2134,11112.54003906,2,3.5,1398,49
367,202,BAHIA,Tanque Novo,2010,70092.859375,16466,4256.81982422,1,9.9,12267,1214
4121,203,BAHIA,Tanquinho,2010,26192.84960938,7875,3326.08007812,1,10.2,5867,598
1754,204,BAHIA,Taperoá,2010,80988.609375,19388,4177.25,1,9.8,12699,1245
1345,205,BAHIA,Tapiramutá,2010,73053.015625,17879,4085.9699707,1,8.7,10906,949
1982,206,BAHIA,Teixeira de Freitas,2010,1051444.375,125430,8382.71972656,1,8.1,82157,6655
1372,207,RIO GRANDE DO SUL,Faxinal do Soturno,2010,93779.3671875,6407,14637.01953125,2,5,4197,210
1673,208,RIO GRANDE DO SUL,Pareci Novo,2010,52567.12109375,3232,16264.58007812,2,4.3,2117,91
2106,209,RIO GRANDE DO SUL,Cerro Largo,2010,266408.5,12861,20714.44921875,2,3.3,7845,259
1065,210,RIO GRANDE DO SUL,Senador Salgado Filho,2010,45900.67578125,2940,15612.46972656,2,5.1,2190,112
2871,211,BAHIA,Teodoro Sampaio,2010,38678.0390625,8442,4581.62011719,1,8.1,6289,509
2678,212,BAHIA,Teofilândia,2010,66410.25,21461,3094.45996094,1,8.1,15988,1295
5350,213,BAHIA,Teolândia,2010,46183.97265625,12810,3605.31005859,1,9.8,8391,822
5374,214,BAHIA,Terra Nova,2010,45995.96484375,12583,3655.40991211,1,9.7,9374,909
0,215,BAHIA,Tremedal,2010,57883.9921875,18433,3140.23999023,1,9.3,13733,1277
1992,216,BAHIA,Tucano,2010,169157.046875,49827,3394.88989258,1,8.8,30394,2675
3697,217,RIO GRANDE DO SUL,São Domingos do Sul,2010,37326.453125,2961,12606.03027344,2,4.1,2206,90
3020,218,RIO GRANDE DO SUL,Vanini,2010,26400.24804688,2045,12909.66015625,2,3.3,1432,47
1708,219,RIO GRANDE DO SUL,Chiapetta,2010,76856.4765625,4094,18772.94921875,2,4.1,3050,125
2283,220,RIO GRANDE DO SUL,Independência,2010,99997.7265625,6715,14891.69042969,2,5.3,5003,265
182,221,RIO GRANDE DO SUL,Porto Xavier,2010,142891.265625,11131,12837.24023438,2,4.1,7792,319
2137,222,BAHIA,Uauá,2010,95182.21875,25159,3783.22998047,1,10,18743,1874
2768,223,BAHIA,Ubaíra,2010,86636.703125,21428,4043.14990234,1,10.2,13071,1333
4142,224,BAHIA,Ubaitaba,2010,118813.359375,20333,5843.37988281,1,8.8,12403,1091
1965,225,BAHIA,Ubatã,2010,101273.8515625,26355,3842.67993164,1,9.2,17263,1588
1317,226,BAHIA,Uibaí,2010,45636.62109375,14203,3213.16992188,1,8.2,9303,763
448,227,BAHIA,Umburanas,2010,48177.484375,17096,2818.06005859,1,9.3,11967,1113
2465,228,BAHIA,Una,2010,108985.7265625,24650,4421.33007812,1,9,18364,1653
2770,229,BAHIA,Urandi,2010,77405.5546875,16289,4752.00976562,1,8.3,12135,1007
3349,230,RIO GRANDE DO SUL,Novo Tiradentes,2010,25313.7265625,2387,10604.83007812,2,4.1,1563,64
3975,231,RIO GRANDE DO SUL,Pinhal,2010,39902.15234375,2401,16618.97070312,2,4.1,1465,60
2261,232,BAHIA,Riachão das Neves,2010,260520.578125,23431,11118.62988281,2,8.3,15347,1274
3092,233,BAHIA,Riachão do Jacuípe,2010,125705.1484375,33666,3733.88989258,1,8.8,20536,1807
3398,234,BAHIA,Riacho de Santana,2010,136802.359375,30602,4470.37011719,1,10,21421,2142
2539,235,RIO GRANDE DO SUL,Dezesseis de Novembro,2010,29492.16796875,2923,10089.69042969,2,5.6,2046,115
2214,236,BAHIA,Uruçuca,2010,80547.1640625,23237,3466.33007812,1,8.7,16266,1415
1311,237,BAHIA,Utinga,2010,83166.9765625,20448,4067.23999023,1,10.3,13393,1379
4276,238,BAHIA,Valença,2010,555572.25,89597,6200.79003906,1,9.4,58686,5516
